intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-1.411,-2.1015252697304465,-0.7203899450792881,0.352,-4.005,6.2e-05,2.1e-04,p<0.001
foot_syls1,foot_syls3,1.456,0.6851280357144093,2.226083676124059,0.393,3.703,2.1e-04,6.0e-04,p<0.001
foot_syls1,foot_syls4,1.35,0.12369938119865198,2.57648321765427,0.626,2.158,0.031,0.048,p<0.05
foot_syls2,foot_syls3,2.737,2.0049478019130005,3.468726819906138,0.373,7.329,2.3e-13,4.6e-12,p<0.001
foot_syls2,foot_syls4,2.591,1.3954106712642196,3.7859821371253983,0.61,4.248,2.2e-05,8.8e-05,p<0.001
foot_syls3,foot_syls4,-0.054,-1.0112764763047886,0.9029669050505218,0.488,-0.111,0.912,0.959,
wrd_end_syl1,wrd_end_syl2,2.419,1.4256798062439615,3.4123293102679475,0.507,4.773,1.8e-06,1.2e-05,p<0.001
wrd_end_syl1,wrd_end_syl3,2.189,0.4396722679272465,3.938633283253497,0.893,2.453,0.014,0.025,p<0.05
wrd_end_syl2,wrd_end_syl3,-0.041,-1.6018644590341833,1.5205322030028194,0.797,-0.051,0.959,0.959,
intercept,genderM,-1.923,-4.045115507500343,0.19997251998051335,1.083,-1.775,0.076,0.095,
