intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-0.23,-8.58981720547446,8.127648201540786,4.26,-0.05,692.63,0.957,0.982,
foot_syls1,foot_syls3,1.13,-5.394413010138188,7.663649884463482,3.33,0.34,711.92,0.733,0.88,
foot_syls1,foot_syls4,-1.35,-11.788931364666611,9.092186660971857,5.32,-0.25,749.82,0.8,0.898,
foot_syls2,foot_syls3,1.37,-7.436817591349838,10.16822346732516,4.48,0.3,678.67,0.761,0.89,
foot_syls2,foot_syls4,-1.12,-11.856585224675568,9.622009576841032,5.47,-0.2,709.33,0.838,0.914,
foot_syls3,foot_syls4,-2.48,-13.243088234205256,8.2771067107521,5.48,-0.45,756.46,0.651,0.828,
pre_syls0,pre_syls1,-4.81,-11.422768953307951,1.7928990560759308,3.37,-1.43,686.34,0.153,0.325,
pre_syls0,pre_syls2,-1.32,-11.82078869781049,9.187895809755249,5.35,-0.25,676.81,0.806,0.898,
pre_syls0,pre_syls3,-11.55,-22.400878840530233,-0.7029747941100108,5.53,-2.09,661.7,0.037,0.098,
pre_syls1,pre_syls2,3.5,-4.670440388152821,11.667417394959816,4.16,0.84,652.64,0.401,0.609,
pre_syls1,pre_syls3,-6.74,-15.317887471905433,1.8439036786354528,4.37,-1.54,663.45,0.124,0.29,
pre_syls2,pre_syls3,-10.24,-16.589464680113092,-3.881495997703431,3.24,-3.16,728.43,0.002,0.007,p<.01
intercept,fin_phonL%,3.081,-6.964847261338887,13.12606578311216,5.117,0.602,767.05,0.547,0.753,
intercept,nuc_new_wordTRUE,-3.226,-9.60460670307237,3.1519961088226323,3.249,-0.993,751.97,0.321,0.548,
intercept,genderM,-54.877,-71.10496895694881,-38.64920454697409,7.168,-7.656,8.96,3.2e-05,1.5e-04,p<.001
