intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.841,-1.5633546129276017,3.244389403727313,0.975,0.862,5.83,0.423,0.742,
foot_syls1,foot_syls3,2.302,1.8760671752105895,2.7282899124717983,0.217,10.607,732.14,1.5e-24,2.9e-23,p<0.001
foot_syls1,foot_syls4,1.569,-0.8350553805238339,3.972649726973229,0.975,1.609,5.83,0.16,0.465,
foot_syls2,foot_syls3,1.462,-0.9423130652077636,3.865635403753134,0.98,1.491,5.95,0.187,0.499,
foot_syls2,foot_syls4,0.728,-1.6756273456359727,3.132186937654488,0.979,0.744,5.91,0.485,0.77,
foot_syls3,foot_syls4,-0.733,-3.1373425260619587,1.6705797813355563,0.98,-0.748,5.94,0.483,0.77,
pre_syls0,pre_syls1,0.828,-1.5771190374765989,3.233434835873739,0.961,0.862,5.49,0.425,0.742,
pre_syls0,pre_syls2,1.12,-1.9453589564035267,4.1844408973193135,1.234,0.907,5.65,0.401,0.74,
pre_syls0,pre_syls3,1.019,-2.0455163236972957,4.084466152861526,1.234,0.826,5.65,0.442,0.758,
pre_syls1,pre_syls2,0.291,-1.6090837288008468,2.1918498686008925,0.773,0.377,5.9,0.72,0.876,
pre_syls1,pre_syls3,0.191,-1.7093088266472456,2.0919428909947824,0.773,0.247,5.9,0.813,0.932,
pre_syls2,pre_syls3,-0.1,-1.3022757948291763,1.102143735041594,0.489,-0.205,5.89,0.845,0.932,
intercept,fin_phonL%,-0.653,-1.3206935765404295,0.01553857484108101,0.34,-1.917,765.7,0.056,0.207,
