intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,2.17,1.1538578194644256,3.1897292216997384,0.48,4.55,14.9,3.9e-04,6.0e-04,p<.001
ana_syls1,2.17,0.04749080101830927,4.283646976289677,0.82,2.63,4.97,0.047,0.054,
ana_syls2,3.16,1.052346183472034,5.264969489766508,0.85,3.73,5.6,0.011,0.013,p<.05
ana_syls3,2.71,0.6068867143832759,4.819459886252849,0.85,3.21,5.59,0.02,0.024,p<.05
foot_syls1,2.17,1.1538578194644256,3.1897292216997384,0.48,4.55,14.9,3.9e-04,6.0e-04,p<.001
foot_syls2,2.78,1.792803084353669,3.7619935074907622,0.46,6.06,13.68,3.2e-05,7.4e-05,p<.001
foot_syls3,3.02,2.039927523184744,4.009044682938518,0.45,6.72,11.59,2.5e-05,6.2e-05,p<.001
foot_syls4,2.76,1.7518058282460118,3.771216528772672,0.47,5.91,13.04,5.1e-05,1.1e-04,p<.001
wrd_end_syl1,2.17,1.1538578194644256,3.1897292216997384,0.48,4.55,14.9,3.9e-04,6.0e-04,p<.001
wrd_end_syl2,2.3,1.268007302251396,3.33930218878511,0.49,4.72,15.7,2.4e-04,4.8e-04,p<.001
wrd_end_syl3,2.32,1.3649847594525544,3.267250013395564,0.45,5.1,18.93,6.5e-05,1.4e-04,p<.001
