intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,-36.68,-48.49435616000827,-24.868757020060364,6.02,-6.1,686.59,1.8e-09,9.7e-08,p<.001
acc_phonL*H,acc_phonH*,-74.72,-84.04619077029307,-65.39755703060345,4.75,-15.73,694.14,6.2e-48,6.7e-46,p<.001
acc_phon>H*,acc_phonH*,-38.04,-50.56205267513178,-25.51858194325025,6.38,-5.96,673.13,4.0e-09,1.4e-07,p<.001
ana_syls0,ana_syls1,-35.66,-117.8994041970565,46.5763348554052,30.66,-1.16,4.39,0.304,0.746,
ana_syls0,ana_syls2,26.89,-94.83096395473326,148.61209757635504,46.53,0.58,4.73,0.59,0.954,
ana_syls0,ana_syls3,38.25,-83.4723766055912,159.96696282824823,46.56,0.82,4.73,0.451,0.876,
ana_syls1,ana_syls2,62.55,-27.680768787510377,152.78497147856635,35,1.79,4.95,0.135,0.494,
ana_syls1,ana_syls3,73.91,-16.32821754279466,164.1458727759064,35.04,2.11,4.97,0.089,0.384,
ana_syls2,ana_syls3,11.36,-381.7175033348456,404.43095591996024,15.07,0.75,0.77,0.617,0.959,
foot_syls1,foot_syls2,23.85,-62.11861683662384,109.81029876377733,31.93,0.75,4.34,0.494,0.889,
foot_syls1,foot_syls3,59.55,-34.0670153455156,153.1578460605512,35.68,1.67,4.68,0.16,0.494,
foot_syls1,foot_syls4,97.64,0.4447033366944879,194.826509443529,39,2.5,5.58,0.049,0.265,
foot_syls2,foot_syls3,35.7,-35.83464987033566,107.23379352145092,28.34,1.26,5.32,0.26,0.718,
foot_syls2,foot_syls4,73.79,-3.51040339558088,151.0899243861808,32.45,2.27,6.75,0.058,0.285,
foot_syls3,foot_syls4,38.09,-33.21344556699869,109.39382766490964,28.13,1.35,5.25,0.231,0.674,
wrd_end_syl1,wrd_end_syl2,-39.54,-89.10705429649326,10.021443549979438,22.33,-1.77,10.3,0.106,0.44,
wrd_end_syl1,wrd_end_syl3,-25.43,-82.659562289489,31.809064509898796,27.13,-0.94,17,0.362,0.786,
wrd_end_syl2,wrd_end_syl3,14.12,-16.61452725532373,44.849640257967536,15.49,0.91,97.98,0.364,0.786,
intercept,pn_new_wordTRUE,-36.363,-117.20134311368582,44.47571019876077,31.395,-1.158,4.97,0.299,0.746,
intercept,genderM,-72.891,-103.8262029095479,-41.9553377149042,13.7,-5.321,9.11,4.6e-04,0.006,p<.01
